"cluster_tr2000","project_count","ssl_distinct_count","ssl_count","appraised_value_count","missing_tax_count","sum_appraised_value_prior_land","sum_appraised_value_prior_total","sum_appraised_value_current_land","sum_appraised_value_current_total","cluster_tr2000_name","percent_ssl_missing","average_land_appraisal"
"Cluster 1",11,10,10,10,1,7597690,35529860,7832320,40445650,"Kalorama Heights, Adams Morgan, Lanier Heights",0.10,783232
"Cluster 10",1,1,1,1,0,2765160,23747600,2765160,25404980,"Hawthorne, Barnaby Woods, Chevy Chase",0.00,2765160
"Cluster 11",2,2,2,2,0,4475650,31389550,4527850,28185150,"Friendship Heights, American University Park, Tenleytown",0.00,2263925
"Cluster 14",1,1,1,1,0,195360,488400,233550,583880,"Cathedral Heights, McLean Gardens, Glover Park",0.00,233550
"Cluster 17",32,32,32,26,6,4863830,12525210,5039020,15094890,"Takoma, Brightwood, Manor Park",0.19,193808
"Cluster 18",104,104,104,96,8,20315800,98055190,21367470,120644613,"Brightwood Park, Crestwood, Petworth",0.08,222578
"Cluster 19",3,3,3,3,0,1695410,31643890,1695410,33900420,"Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill",0.00,565137
"Cluster 2",167,167,167,162,5,106219730,399523805,108831520,457500820,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",0.03,671800
"Cluster 21",24,24,24,23,1,57767640,169587249,60632160,196870970,"Edgewood, Bloomingdale, Truxton Circle, Eckington",0.04,2636181
"Cluster 22",27,27,27,26,1,19541700,63965390,19632780,77790720,"Brookland, Brentwood, Langdon",0.04,755107
"Cluster 23",10,10,10,8,2,10841720,65751870,11067560,91716770,"Ivy City, Arboretum, Trinidad, Carver Langston",0.20,1383445
"Cluster 24",166,166,166,166,0,20326280,128251230,20326280,148060360,"Woodridge, Fort Lincoln, Gateway",0.00,122447
"Cluster 25",12,12,12,9,3,42618000,169598060,42803560,172135810,"NoMa, Union Station, Stanton Park, Kingman Park",0.25,4755951
"Cluster 26",8,6,6,6,0,11514360,60148310,11806130,76880430,"Capitol Hill, Lincoln Park",0.00,1967688
"Cluster 27",16,15,15,13,2,83834560,234166020,87894470,246954370,"Near Southeast, Navy Yard",0.13,6761113
"Cluster 28",14,14,14,14,0,8494360,16675120,8494360,17435910,"Historic Anacostia",0.00,606740
"Cluster 29",2,1,1,1,0,1295460,2298420,1295460,2357740,"Eastland Gardens, Kenilworth",0.00,1295460
"Cluster 3",52,52,52,17,35,17252170,110177300,16929230,135629280,"Howard University, Le Droit Park, Cardozo/Shaw",0.67,995837
"Cluster 30",18,15,15,14,1,63888340,105119390,63888340,109645400,"Mayfair, Hillbrook, Mahaning Heights",0.07,4563453
"Cluster 31",6,6,6,6,0,9948710,50446780,11829950,64125890,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",0.00,1971658
"Cluster 32",15,13,13,11,3,32309420,68051680,32315040,70990390,"River Terrace, Benning, Greenway, Dupont Park",0.23,2937731
"Cluster 33",37,34,34,34,1,12384600,38466770,12143330,39904950,"Capitol View, Marshall Heights, Benning Heights",0.03,357157
"Cluster 34",12,12,12,12,0,3398760,9415230,3413300,9993880,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",0.00,284442
"Cluster 35",1,1,1,1,0,1306740,1598200,1306740,1669860,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",0.00,1306740
"Cluster 36",26,25,25,24,1,21399520,59913780,21397900,57054950,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",0.04,891579
"Cluster 37",22,22,22,20,2,21300480,50135630,21603110,54035580,"Sheridan, Barry Farm, Buena Vista",0.09,1080156
"Cluster 38",21,18,18,18,1,28199590,67290490,28203890,71628900,"Douglas, Shipley Terrace",0.06,1566883
"Cluster 39",36,36,36,33,3,65215880,170759562,65215880,177031660,"Congress Heights, Bellevue, Washington Highlands",0.08,1976239
"Cluster 5",1,1,1,1,0,10734720,28751500,10734720,29723190,"West End, Foggy Bottom, GWU",0.00,10734720
"Cluster 6",2,2,2,2,0,20538600,60559050,21672570,64104220,"Dupont Circle, Connecticut Avenue/K Street",0.00,10836285
"Cluster 7",27,27,27,21,6,113513570,345308130,116441700,474412700,"Shaw, Logan Circle",0.22,5544843
"Cluster 8",25,25,25,22,3,217017080,563652910,223728280,705756700,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",0.12,10169467
"Cluster 9",9,9,9,8,1,59273330,123790090,59516180,123493920,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",0.11,7439523
